location,latitude,longitude
MYLASANDRA,12.8514983,77.6204097
KALYAN NAGAR,17.446907,78.430261
DR SHIVARAMA KARANTHA NAGAR,,
BANK OF BARODA COLONY,12.893481,77.5837404
KULLAPPA COLONY,13.010655,77.615192
MUKKUTAM NAGAR,12.887209,77.680655
ASHWATH NAGAR,12.887209,77.680655
NCPR INDUSTRIAL LAYOUT,12.5084178,75.057837
MEENAKUNTE,,
OMBR LAYOUT,12.922005,77.648683
ANAND NAGAR,12.9600501,77.6451721
SHREE ANANTH NAGAR LAYOUT,19.616048,75.793019
KUNDALAHALLI COLONY,12.969909,77.7116944
HORAMAVU AGARA,13.019413,77.655751
MCECHS  LAYOUT,13.011885,77.544139
COFFEE BOARD LAYOUT,13.0503251,77.6060803
AMBEDKAR NAGAR,12.9490851,77.6184873
KUDLU MAIN ROAD,12.8941729,77.6517801
GELEYARA BALAGA LAYOUT,13.0703201,77.50879916667466
TALAGHATTAPURA,,
SUNDARA NAGAR,12.97290045,77.6151954110558
BALAGERE,13.2994,78.0914
JIGANI,12.795971,77.660021
GOLLARAPALYA HOSAHALLI,12.974493,77.534205
SRIRAMPURA,12.990533,77.566502
OLD MADRAS ROAD,13.069522,77.782444
KAGGADASAPURA,12.9846713,77.6790908
SILVER SPRINGS LAYOUT,12.9157034,77.52755355
9TH PHASE JP NAGAR,12.918551,77.585631
JAKKUR,13.085839,77.610721
TC PALAYA,13.023831,77.700534
MARUTHI SEVANAGAR,13.004853,77.636789
RMV 2ND STAGE,13.0299868,77.574051
GIRI NAGAR,12.937569,77.545788
SINGASANDRA,12.8777,77.647441
AECS LAYOUT,12.964118,77.7130369
MALLASANDRA,13.334971,77.015439
BEGUR,12.837617,77.619737
JP NAGAR,12.9155514,77.5774308
SUNDER RAM SHETTY NAGAR,12.894586,77.602073
MALLESHPALYA,12.9744129,77.6743533
KODATHI,12.896567,77.720119
MUNNEKOLLAL,,
MOTAPPA LAYOUT,13.011885,77.544139
AKSHAYA VANA,13.055203,77.602072
KAGGALIPURA,12.804486,77.51229
BASAVANNA NAGAR,12.9844454,77.5885019
6TH PHASE JP NAGAR,12.918551,77.585631
ULSOOR,12.9875714,77.6222845
